                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0377,                 3.1452,                 1.4972,                0.61932,                 0.8865,                0.88806,                0.62148,                 1.4013,                 1.2719,                 1.2507,                      0,                      0,                      0
                      2,                 1.1667,                 2.7792,                 1.4402,                0.59542,                 0.9032,                0.88793,                0.61558,                 1.4107,                 1.2972,                 1.2554,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 1.3403,                 2.3382,                 1.4582,                0.58886,                0.88939,                0.88828,                0.61899,                 1.4257,                 1.3247,                 1.2599,              8.092e-07,              8.092e-07,              8.092e-07
